ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,アプリ(実データ列),判定理由
UC-1324,UC-GL-048,サプライヤ管理の運用手順と標準の整備,サプライヤ管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1522,UC-ZU-30,トピック追跡,サービスデスク,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1523,UC-ZU-31,トピック運用,サービスデスク,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1524,UC-ZU-35,通知抑制,サービスデスク,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1601,UC-ZU-34,会話の整理,サービスデスク; インシデント管理,Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1701,UC-GL-460,ボード運用,サービスデスク; 変更管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1901,UC-GL-354,サービス妥当性確認およびテストのSLA/目標管理,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1902,UC-GL-355,サービス妥当性確認およびテストのエスカレーション/連携,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1903,UC-GL-356,サービス妥当性確認およびテストのデータ品質の維持,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1904,UC-GL-357,サービス妥当性確認およびテストのナレッジの更新,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1905,UC-GL-358,サービス妥当性確認およびテストのレポート/振り返り,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1906,UC-GL-359,サービス妥当性確認およびテストのレポートの標準化,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1907,UC-GL-360,サービス妥当性確認およびテストの依存関係の整理,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1908,UC-GL-361,サービス妥当性確認およびテストの分類/優先度付け,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1909,UC-GL-362,サービス妥当性確認およびテストの受付/登録,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1910,UC-GL-363,サービス妥当性確認およびテストの品質保証/監査,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1911,UC-GL-364,サービス妥当性確認およびテストの実行/処理,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1912,UC-GL-365,サービス妥当性確認およびテストの承認/レビュー,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1913,UC-GL-366,サービス妥当性確認およびテストの改善施策の実施,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1914,UC-GL-367,サービス妥当性確認およびテストの方針/標準定義,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1915,UC-GL-368,サービス妥当性確認およびテストの標準テンプレートの整備,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1916,UC-GL-369,サービス妥当性確認およびテストの継続的改善,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1917,UC-GL-370,サービス妥当性確認およびテストの自動化/効率化,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1918,UC-GL-371,サービス妥当性確認およびテストの調査/分析,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1919,UC-GL-372,サービス妥当性確認およびテストの通知/コミュニケーション,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1920,UC-GL-373,サービス妥当性確認およびテストの運用手順の整備,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-1921,UC-GL-374,サービス妥当性確認およびテストの関係者合意の形成,サービス妥当性確認およびテスト,GitLab; n8n; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2001,UC-EXA-23,CMDB同期（定期）,サービス構成管理,Exastro ITA API; n8n; GitLab; Zulip,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2002,UC-EXA-03,パラメータ管理,サービス構成管理,Exastro ITA Web / Exastro ITA API,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2003,UC-GL-375,サービス構成管理のSLA/目標管理,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2004,UC-GL-376,サービス構成管理のエスカレーション/連携,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2005,UC-GL-377,サービス構成管理のデータ品質の維持,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2006,UC-GL-378,サービス構成管理のナレッジの更新,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2007,UC-GL-379,サービス構成管理のレポート/振り返り,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2008,UC-GL-380,サービス構成管理のレポートの標準化,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2009,UC-GL-381,サービス構成管理の依存関係の整理,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2010,UC-GL-382,サービス構成管理の分類/優先度付け,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2011,UC-GL-383,サービス構成管理の受付/登録,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2012,UC-GL-384,サービス構成管理の品質保証/監査,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2013,UC-GL-385,サービス構成管理の実行/処理,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2014,UC-GL-386,サービス構成管理の承認/レビュー,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2015,UC-GL-387,サービス構成管理の改善施策の実施,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2016,UC-GL-388,サービス構成管理の方針/標準定義,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2017,UC-GL-389,サービス構成管理の標準テンプレートの整備,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2018,UC-GL-390,サービス構成管理の継続的改善,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2019,UC-GL-391,サービス構成管理の自動化/効率化,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2020,UC-GL-392,サービス構成管理の調査/分析,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2021,UC-GL-393,サービス構成管理の通知/コミュニケーション,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2022,UC-GL-394,サービス構成管理の運用手順の整備,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2023,UC-GL-395,サービス構成管理の関係者合意の形成,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2101,UC-GL-461,ラベル運用,サービス構成管理; 変更管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2201,UC-GL-396,サービス継続管理のSLA/目標管理,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2202,UC-GL-397,サービス継続管理のエスカレーション/連携,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2203,UC-GL-398,サービス継続管理のデータ品質の維持,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2204,UC-GL-399,サービス継続管理のナレッジの更新,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2205,UC-GL-400,サービス継続管理のレポート/振り返り,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2206,UC-GL-401,サービス継続管理のレポートの標準化,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2207,UC-GL-402,サービス継続管理の依存関係の整理,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2208,UC-GL-403,サービス継続管理の分類/優先度付け,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2209,UC-GL-404,サービス継続管理の受付/登録,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2210,UC-GL-405,サービス継続管理の品質保証/監査,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2211,UC-GL-406,サービス継続管理の実行/処理,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2212,UC-GL-407,サービス継続管理の承認/レビュー,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2213,UC-GL-408,サービス継続管理の改善施策の実施,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2214,UC-GL-409,サービス継続管理の方針/標準定義,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2215,UC-GL-410,サービス継続管理の標準テンプレートの整備,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2216,UC-GL-411,サービス継続管理の継続的改善,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2217,UC-GL-412,サービス継続管理の自動化/効率化,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2218,UC-GL-413,サービス継続管理の調査/分析,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2219,UC-GL-414,サービス継続管理の通知/コミュニケーション,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2220,UC-GL-415,サービス継続管理の運用手順の整備,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2221,UC-GL-416,サービス継続管理の関係者合意の形成,サービス継続管理,GitLab; Grafana,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2401,UC-N8N-05,業務自動化,サービス要求管理; 変更管理,n8n,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2501,UC-GL-417,サービス設計のSLA/目標管理,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2502,UC-GL-418,サービス設計のエスカレーション/連携,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2503,UC-GL-419,サービス設計のデータ品質の維持,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2504,UC-GL-420,サービス設計のナレッジの更新,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2505,UC-GL-421,サービス設計のレポート/振り返り,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2506,UC-GL-422,サービス設計のレポートの標準化,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2507,UC-GL-423,サービス設計の依存関係の整理,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2508,UC-GL-424,サービス設計の分類/優先度付け,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2509,UC-GL-425,サービス設計の受付/登録,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2510,UC-GL-426,サービス設計の品質保証/監査,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2511,UC-GL-427,サービス設計の実行/処理,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2512,UC-GL-428,サービス設計の承認/レビュー,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2513,UC-GL-429,サービス設計の改善施策の実施,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2514,UC-GL-430,サービス設計の方針/標準定義,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2515,UC-GL-431,サービス設計の標準テンプレートの整備,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2516,UC-GL-432,サービス設計の継続的改善,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2517,UC-GL-433,サービス設計の自動化/効率化,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2518,UC-GL-434,サービス設計の調査/分析,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2519,UC-GL-435,サービス設計の通知/コミュニケーション,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2520,UC-GL-436,サービス設計の運用手順の整備,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2521,UC-GL-437,サービス設計の関係者合意の形成,サービス設計,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2601,UC-GL-049,サービス財務管理のKPI/指標定義,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2602,UC-GL-050,サービス財務管理のガバナンスと方針運用の整備,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2603,UC-GL-051,サービス財務管理のステークホルダー/関係者調整,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2604,UC-GL-052,サービス財務管理のツール/データ整備,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2605,UC-GL-053,サービス財務管理のリスク/例外レビュー,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2606,UC-GL-054,サービス財務管理のリスクと例外の管理,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2607,UC-GL-055,サービス財務管理のレビュー/監査の実施,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2608,UC-GL-056,サービス財務管理のロードマップ策定,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2609,UC-GL-057,サービス財務管理の主要関係者の合意形成,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2610,UC-GL-058,サービス財務管理の変更影響の分析,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2611,UC-GL-059,サービス財務管理の定期レビュー/報告,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2612,UC-GL-060,サービス財務管理の実行計画の策定,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2613,UC-GL-061,サービス財務管理の役割/責任（RACI）定義,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2614,UC-GL-062,サービス財務管理の意思決定基準の明文化,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2615,UC-GL-063,サービス財務管理の成果物の記録/版管理,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2616,UC-GL-064,サービス財務管理の指標の定義と可視化,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2617,UC-GL-065,サービス財務管理の改善施策の優先順位付け,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2618,UC-GL-066,サービス財務管理の教育/オンボーディング,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2619,UC-GL-067,サービス財務管理の教育/展開/浸透,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2620,UC-GL-068,サービス財務管理の方針/ポリシー策定,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2621,UC-GL-069,サービス財務管理の標準/ガイドライン整備,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2622,UC-GL-070,サービス財務管理の現状評価/ギャップ分析,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2623,UC-GL-071,サービス財務管理の目標/ターゲット設定,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2624,UC-GL-072,サービス財務管理の運用手順と標準の整備,サービス財務管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2701,UC-GL-874,自動マージ,ソフトウェア開発および管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2702,UC-GL-634,コンテナ管理,ソフトウェア開発および管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2703,UC-GL-871,パッケージ管理,ソフトウェア開発および管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2704,UC-GL-875,課題API,ソフトウェア開発および管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2705,UC-GL-872,マージレビュー,ソフトウェア開発および管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2706,UC-GL-873,リリースAPI,ソフトウェア開発および管理,GitLab,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2707,UC-GLR-01,GitLab Runner運用,ソフトウェア開発および管理,GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2708,UC-GL-527,CI/CD基盤,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2709,UC-GL-635,ソフトウェア開発管理のAPIライフサイクル管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2710,UC-GL-636,ソフトウェア開発管理のAPI設計管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2711,UC-GL-637,ソフトウェア開発管理のCIパイプライン設計,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2712,UC-GL-638,ソフトウェア開発管理のCI設計の標準化,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2713,UC-GL-639,ソフトウェア開発管理のDORA指標の追跡,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2714,UC-GL-640,ソフトウェア開発管理のDORA指標管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2715,UC-GL-641,ソフトウェア開発管理のIDE/ツール統一,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2716,UC-GL-642,ソフトウェア開発管理のOSS利用の審査,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2717,UC-GL-643,ソフトウェア開発管理のOSS利用管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2718,UC-GL-644,ソフトウェア開発管理のSLA要件反映,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2719,UC-GL-645,ソフトウェア開発管理のアーキテクチャ整合性の確認,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2720,UC-GL-646,ソフトウェア開発管理のアーティファクト管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2721,UC-GL-647,ソフトウェア開発管理のインシデント学習の反映,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2722,UC-GL-648,ソフトウェア開発管理のコードレビュー運用,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2723,UC-GL-649,ソフトウェア開発管理のコード品質監視,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2724,UC-GL-650,ソフトウェア開発管理のコード所有者の管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2725,UC-GL-651,ソフトウェア開発管理のコード所有者管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2726,UC-GL-652,ソフトウェア開発管理のコード規約の適用,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2727,UC-GL-653,ソフトウェア開発管理のコード規約の遵守,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2728,UC-GL-654,ソフトウェア開発管理のサポート終了管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2729,UC-GL-655,ソフトウェア開発管理のセキュリティ要件の実装,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2730,UC-GL-656,ソフトウェア開発管理のセキュリティ要件反映,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2731,UC-GL-657,ソフトウェア開発管理のツールチェーンの標準化,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2732,UC-GL-658,ソフトウェア開発管理のテストカバレッジ向上,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2733,UC-GL-659,ソフトウェア開発管理のテストカバレッジ管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2734,UC-GL-660,ソフトウェア開発管理のテストデータ管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2735,UC-GL-661,ソフトウェア開発管理のテスト戦略の策定,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2736,UC-GL-662,ソフトウェア開発管理のデプロイ連携の設計,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2737,UC-GL-663,ソフトウェア開発管理のデプロイ連携設計,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2738,UC-GL-664,ソフトウェア開発管理のドキュメント整備,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2739,UC-GL-665,ソフトウェア開発管理のドキュメント更新サイクル,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2740,UC-GL-666,ソフトウェア開発管理のドキュメント管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2741,UC-GL-667,ソフトウェア開発管理のバックポート管理,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2742,UC-GL-668,ソフトウェア開発管理のバージョニング方針,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2743,UC-GL-669,ソフトウェア開発管理のパイプライン高速化,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-2744,UC-GL-670,ソフトウェア開発管理のパッケージの署名/検証,ソフトウェア開発および管理,GitLab; GitLab Runner,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
