ユースケースID,ユースケース機能ID,カテゴリ,ユースケース,本レポジトリシステムでの実現状況
UC-1310,UC-GL-034,サプライヤ管理,サプライヤ管理の変更影響の分析,🔺
UC-1311,UC-GL-035,サプライヤ管理,サプライヤ管理の定期レビュー/報告,🔺
UC-1312,UC-GL-036,サプライヤ管理,サプライヤ管理の実行計画の策定,🔺
UC-1313,UC-GL-037,サプライヤ管理,サプライヤ管理の役割/責任（RACI）定義,🔺
UC-1314,UC-GL-038,サプライヤ管理,サプライヤ管理の意思決定基準の明文化,🔺
UC-1315,UC-GL-039,サプライヤ管理,サプライヤ管理の成果物の記録/版管理,🔺
UC-1316,UC-GL-040,サプライヤ管理,サプライヤ管理の指標の定義と可視化,🔺
UC-1317,UC-GL-041,サプライヤ管理,サプライヤ管理の改善施策の優先順位付け,🔺
UC-1318,UC-GL-042,サプライヤ管理,サプライヤ管理の教育/オンボーディング,🔺
UC-1319,UC-GL-043,サプライヤ管理,サプライヤ管理の教育/展開/浸透,🔺
UC-1320,UC-GL-044,サプライヤ管理,サプライヤ管理の方針/ポリシー策定,🔺
UC-1321,UC-GL-045,サプライヤ管理,サプライヤ管理の標準/ガイドライン整備,🔺
UC-1322,UC-GL-046,サプライヤ管理,サプライヤ管理の現状評価/ギャップ分析,🔺
UC-1323,UC-GL-047,サプライヤ管理,サプライヤ管理の目標/ターゲット設定,🔺
UC-1324,UC-GL-048,サプライヤ管理,サプライヤ管理の運用手順と標準の整備,🔺
UC-1901,UC-GL-354,サービス妥当性確認およびテスト,サービス妥当性確認およびテストのSLA/目標管理,🔺
UC-1902,UC-GL-355,サービス妥当性確認およびテスト,サービス妥当性確認およびテストのエスカレーション/連携,🔺
UC-1903,UC-GL-356,サービス妥当性確認およびテスト,サービス妥当性確認およびテストのデータ品質の維持,🔺
UC-1904,UC-GL-357,サービス妥当性確認およびテスト,サービス妥当性確認およびテストのナレッジの更新,🔺
UC-1905,UC-GL-358,サービス妥当性確認およびテスト,サービス妥当性確認およびテストのレポート/振り返り,🔺
UC-1906,UC-GL-359,サービス妥当性確認およびテスト,サービス妥当性確認およびテストのレポートの標準化,🔺
UC-1907,UC-GL-360,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの依存関係の整理,🔺
UC-1908,UC-GL-361,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの分類/優先度付け,🔺
UC-1909,UC-GL-362,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの受付/登録,🔺
UC-1910,UC-GL-363,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの品質保証/監査,🔺
UC-1911,UC-GL-364,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの実行/処理,🔺
UC-1912,UC-GL-365,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの承認/レビュー,🔺
UC-1913,UC-GL-366,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの改善施策の実施,🔺
UC-1914,UC-GL-367,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの方針/標準定義,🔺
UC-1915,UC-GL-368,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの標準テンプレートの整備,🔺
UC-1916,UC-GL-369,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの継続的改善,🔺
UC-1917,UC-GL-370,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの自動化/効率化,🔺
UC-1918,UC-GL-371,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの調査/分析,🔺
UC-1919,UC-GL-372,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの通知/コミュニケーション,🔺
UC-1920,UC-GL-373,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの運用手順の整備,🔺
UC-1921,UC-GL-374,サービス妥当性確認およびテスト,サービス妥当性確認およびテストの関係者合意の形成,🔺
UC-2201,UC-GL-396,サービス継続管理,サービス継続管理のSLA/目標管理,🔺
UC-2202,UC-GL-397,サービス継続管理,サービス継続管理のエスカレーション/連携,🔺
UC-2203,UC-GL-398,サービス継続管理,サービス継続管理のデータ品質の維持,🔺
UC-2204,UC-GL-399,サービス継続管理,サービス継続管理のナレッジの更新,🔺
UC-2205,UC-GL-400,サービス継続管理,サービス継続管理のレポート/振り返り,🔺
UC-2206,UC-GL-401,サービス継続管理,サービス継続管理のレポートの標準化,🔺
UC-2207,UC-GL-402,サービス継続管理,サービス継続管理の依存関係の整理,🔺
UC-2208,UC-GL-403,サービス継続管理,サービス継続管理の分類/優先度付け,🔺
UC-2209,UC-GL-404,サービス継続管理,サービス継続管理の受付/登録,🔺
UC-2210,UC-GL-405,サービス継続管理,サービス継続管理の品質保証/監査,🔺
UC-2211,UC-GL-406,サービス継続管理,サービス継続管理の実行/処理,🔺
UC-2212,UC-GL-407,サービス継続管理,サービス継続管理の承認/レビュー,🔺
UC-2213,UC-GL-408,サービス継続管理,サービス継続管理の改善施策の実施,🔺
UC-2214,UC-GL-409,サービス継続管理,サービス継続管理の方針/標準定義,🔺
UC-2215,UC-GL-410,サービス継続管理,サービス継続管理の標準テンプレートの整備,🔺
UC-2216,UC-GL-411,サービス継続管理,サービス継続管理の継続的改善,🔺
UC-2217,UC-GL-412,サービス継続管理,サービス継続管理の自動化/効率化,🔺
UC-2218,UC-GL-413,サービス継続管理,サービス継続管理の調査/分析,🔺
UC-2219,UC-GL-414,サービス継続管理,サービス継続管理の通知/コミュニケーション,🔺
UC-2220,UC-GL-415,サービス継続管理,サービス継続管理の運用手順の整備,🔺
UC-2221,UC-GL-416,サービス継続管理,サービス継続管理の関係者合意の形成,🔺
UC-2501,UC-GL-417,サービス設計,サービス設計のSLA/目標管理,🔺
UC-2502,UC-GL-418,サービス設計,サービス設計のエスカレーション/連携,🔺
UC-2503,UC-GL-419,サービス設計,サービス設計のデータ品質の維持,🔺
UC-2504,UC-GL-420,サービス設計,サービス設計のナレッジの更新,🔺
UC-2505,UC-GL-421,サービス設計,サービス設計のレポート/振り返り,🔺
UC-2506,UC-GL-422,サービス設計,サービス設計のレポートの標準化,🔺
UC-2507,UC-GL-423,サービス設計,サービス設計の依存関係の整理,🔺
UC-2508,UC-GL-424,サービス設計,サービス設計の分類/優先度付け,🔺
UC-2509,UC-GL-425,サービス設計,サービス設計の受付/登録,🔺
UC-2510,UC-GL-426,サービス設計,サービス設計の品質保証/監査,🔺
UC-2511,UC-GL-427,サービス設計,サービス設計の実行/処理,🔺
UC-2512,UC-GL-428,サービス設計,サービス設計の承認/レビュー,🔺
UC-2513,UC-GL-429,サービス設計,サービス設計の改善施策の実施,🔺
UC-2514,UC-GL-430,サービス設計,サービス設計の方針/標準定義,🔺
UC-2515,UC-GL-431,サービス設計,サービス設計の標準テンプレートの整備,🔺
UC-2516,UC-GL-432,サービス設計,サービス設計の継続的改善,🔺
UC-2517,UC-GL-433,サービス設計,サービス設計の自動化/効率化,🔺
UC-2518,UC-GL-434,サービス設計,サービス設計の調査/分析,🔺
UC-2519,UC-GL-435,サービス設計,サービス設計の通知/コミュニケーション,🔺
UC-2520,UC-GL-436,サービス設計,サービス設計の運用手順の整備,🔺
UC-2521,UC-GL-437,サービス設計,サービス設計の関係者合意の形成,🔺
UC-2601,UC-GL-049,サービス財務管理,サービス財務管理のKPI/指標定義,🔺
UC-2602,UC-GL-050,サービス財務管理,サービス財務管理のガバナンスと方針運用の整備,🔺
UC-2603,UC-GL-051,サービス財務管理,サービス財務管理のステークホルダー/関係者調整,🔺
UC-2604,UC-GL-052,サービス財務管理,サービス財務管理のツール/データ整備,🔺
UC-2605,UC-GL-053,サービス財務管理,サービス財務管理のリスク/例外レビュー,🔺
UC-2606,UC-GL-054,サービス財務管理,サービス財務管理のリスクと例外の管理,🔺
UC-2607,UC-GL-055,サービス財務管理,サービス財務管理のレビュー/監査の実施,🔺
UC-2608,UC-GL-056,サービス財務管理,サービス財務管理のロードマップ策定,🔺
UC-2609,UC-GL-057,サービス財務管理,サービス財務管理の主要関係者の合意形成,🔺
UC-2610,UC-GL-058,サービス財務管理,サービス財務管理の変更影響の分析,🔺
UC-2611,UC-GL-059,サービス財務管理,サービス財務管理の定期レビュー/報告,🔺
UC-2612,UC-GL-060,サービス財務管理,サービス財務管理の実行計画の策定,🔺
UC-2613,UC-GL-061,サービス財務管理,サービス財務管理の役割/責任（RACI）定義,🔺
UC-2614,UC-GL-062,サービス財務管理,サービス財務管理の意思決定基準の明文化,🔺
UC-2615,UC-GL-063,サービス財務管理,サービス財務管理の成果物の記録/版管理,🔺
UC-2616,UC-GL-064,サービス財務管理,サービス財務管理の指標の定義と可視化,🔺
UC-2617,UC-GL-065,サービス財務管理,サービス財務管理の改善施策の優先順位付け,🔺
UC-2618,UC-GL-066,サービス財務管理,サービス財務管理の教育/オンボーディング,🔺
UC-2619,UC-GL-067,サービス財務管理,サービス財務管理の教育/展開/浸透,🔺
UC-2620,UC-GL-068,サービス財務管理,サービス財務管理の方針/ポリシー策定,🔺
UC-2621,UC-GL-069,サービス財務管理,サービス財務管理の標準/ガイドライン整備,🔺
UC-2622,UC-GL-070,サービス財務管理,サービス財務管理の現状評価/ギャップ分析,🔺
UC-2623,UC-GL-071,サービス財務管理,サービス財務管理の目標/ターゲット設定,🔺
UC-2624,UC-GL-072,サービス財務管理,サービス財務管理の運用手順と標準の整備,🔺
UC-3201,UC-GL-439,ビジネス分析,ビジネス分析のSLA/目標管理,🔺
UC-3202,UC-GL-440,ビジネス分析,ビジネス分析のエスカレーション/連携,🔺
UC-3203,UC-GL-441,ビジネス分析,ビジネス分析のデータ品質の維持,🔺
UC-3204,UC-GL-442,ビジネス分析,ビジネス分析のナレッジの更新,🔺
UC-3205,UC-GL-443,ビジネス分析,ビジネス分析のレポート/振り返り,🔺
UC-3206,UC-GL-444,ビジネス分析,ビジネス分析のレポートの標準化,🔺
UC-3207,UC-GL-445,ビジネス分析,ビジネス分析の依存関係の整理,🔺
UC-3208,UC-GL-446,ビジネス分析,ビジネス分析の分類/優先度付け,🔺
UC-3209,UC-GL-447,ビジネス分析,ビジネス分析の受付/登録,🔺
UC-3210,UC-GL-448,ビジネス分析,ビジネス分析の品質保証/監査,🔺
UC-3211,UC-GL-449,ビジネス分析,ビジネス分析の実行/処理,🔺
UC-3212,UC-GL-450,ビジネス分析,ビジネス分析の承認/レビュー,🔺
UC-3213,UC-GL-451,ビジネス分析,ビジネス分析の改善施策の実施,🔺
UC-3214,UC-GL-452,ビジネス分析,ビジネス分析の方針/標準定義,🔺
UC-3215,UC-GL-453,ビジネス分析,ビジネス分析の標準テンプレートの整備,🔺
UC-3216,UC-GL-454,ビジネス分析,ビジネス分析の継続的改善,🔺
UC-3217,UC-GL-455,ビジネス分析,ビジネス分析の自動化/効率化,🔺
UC-3218,UC-GL-456,ビジネス分析,ビジネス分析の調査/分析,🔺
UC-3219,UC-GL-457,ビジネス分析,ビジネス分析の通知/コミュニケーション,🔺
UC-3220,UC-GL-458,ビジネス分析,ビジネス分析の運用手順の整備,🔺
UC-3221,UC-GL-459,ビジネス分析,ビジネス分析の関係者合意の形成,🔺
UC-3301,UC-GL-073,プロジェクト管理,プロジェクト管理のKPI/指標定義,🔺
UC-3302,UC-GL-074,プロジェクト管理,プロジェクト管理のガバナンスと方針運用の整備,🔺
UC-3303,UC-GL-075,プロジェクト管理,プロジェクト管理のステークホルダー/関係者調整,🔺
UC-3304,UC-GL-076,プロジェクト管理,プロジェクト管理のツール/データ整備,🔺
UC-3305,UC-GL-077,プロジェクト管理,プロジェクト管理のリスク/例外レビュー,🔺
UC-3306,UC-GL-078,プロジェクト管理,プロジェクト管理のリスクと例外の管理,🔺
UC-3307,UC-GL-079,プロジェクト管理,プロジェクト管理のレビュー/監査の実施,🔺
UC-3308,UC-GL-080,プロジェクト管理,プロジェクト管理のロードマップ策定,🔺
UC-3309,UC-GL-081,プロジェクト管理,プロジェクト管理の主要関係者の合意形成,🔺
UC-3310,UC-GL-082,プロジェクト管理,プロジェクト管理の変更影響の分析,🔺
UC-3311,UC-GL-083,プロジェクト管理,プロジェクト管理の定期レビュー/報告,🔺
UC-3312,UC-GL-084,プロジェクト管理,プロジェクト管理の実行計画の策定,🔺
UC-3313,UC-GL-085,プロジェクト管理,プロジェクト管理の役割/責任（RACI）定義,🔺
UC-3314,UC-GL-086,プロジェクト管理,プロジェクト管理の意思決定基準の明文化,🔺
UC-3315,UC-GL-087,プロジェクト管理,プロジェクト管理の成果物の記録/版管理,🔺
UC-3316,UC-GL-088,プロジェクト管理,プロジェクト管理の指標の定義と可視化,🔺
UC-3317,UC-GL-089,プロジェクト管理,プロジェクト管理の改善施策の優先順位付け,🔺
UC-3318,UC-GL-090,プロジェクト管理,プロジェクト管理の教育/オンボーディング,🔺
UC-3319,UC-GL-091,プロジェクト管理,プロジェクト管理の教育/展開/浸透,🔺
UC-3320,UC-GL-092,プロジェクト管理,プロジェクト管理の方針/ポリシー策定,🔺
UC-3321,UC-GL-093,プロジェクト管理,プロジェクト管理の標準/ガイドライン整備,🔺
UC-3322,UC-GL-094,プロジェクト管理,プロジェクト管理の現状評価/ギャップ分析,🔺
UC-3323,UC-GL-095,プロジェクト管理,プロジェクト管理の目標/ターゲット設定,🔺
UC-3324,UC-GL-096,プロジェクト管理,プロジェクト管理の運用手順と標準の整備,🔺
UC-3325,UC-GL-121,プロジェクト管理,マイルストーン,🔺
UC-3401,UC-GL-097,ポートフォリオ管理,ポートフォリオ管理のKPI/指標定義,🔺
UC-3402,UC-GL-098,ポートフォリオ管理,ポートフォリオ管理のガバナンスと方針運用の整備,🔺
UC-3403,UC-GL-099,ポートフォリオ管理,ポートフォリオ管理のステークホルダー/関係者調整,🔺
UC-3404,UC-GL-100,ポートフォリオ管理,ポートフォリオ管理のツール/データ整備,🔺
UC-3405,UC-GL-101,ポートフォリオ管理,ポートフォリオ管理のリスク/例外レビュー,🔺
UC-3406,UC-GL-102,ポートフォリオ管理,ポートフォリオ管理のリスクと例外の管理,🔺
UC-3407,UC-GL-103,ポートフォリオ管理,ポートフォリオ管理のレビュー/監査の実施,🔺
UC-3408,UC-GL-104,ポートフォリオ管理,ポートフォリオ管理のロードマップ策定,🔺
UC-3409,UC-GL-105,ポートフォリオ管理,ポートフォリオ管理の主要関係者の合意形成,🔺
UC-3410,UC-GL-106,ポートフォリオ管理,ポートフォリオ管理の変更影響の分析,🔺
UC-3411,UC-GL-107,ポートフォリオ管理,ポートフォリオ管理の定期レビュー/報告,🔺
UC-3412,UC-GL-108,ポートフォリオ管理,ポートフォリオ管理の実行計画の策定,🔺
UC-3413,UC-GL-109,ポートフォリオ管理,ポートフォリオ管理の役割/責任（RACI）定義,🔺
UC-3414,UC-GL-110,ポートフォリオ管理,ポートフォリオ管理の意思決定基準の明文化,🔺
UC-3415,UC-GL-111,ポートフォリオ管理,ポートフォリオ管理の成果物の記録/版管理,🔺
UC-3416,UC-GL-112,ポートフォリオ管理,ポートフォリオ管理の指標の定義と可視化,🔺
UC-3417,UC-GL-113,ポートフォリオ管理,ポートフォリオ管理の改善施策の優先順位付け,🔺
UC-3418,UC-GL-114,ポートフォリオ管理,ポートフォリオ管理の教育/オンボーディング,🔺
UC-3419,UC-GL-115,ポートフォリオ管理,ポートフォリオ管理の教育/展開/浸透,🔺
UC-3420,UC-GL-116,ポートフォリオ管理,ポートフォリオ管理の方針/ポリシー策定,🔺
UC-3421,UC-GL-117,ポートフォリオ管理,ポートフォリオ管理の標準/ガイドライン整備,🔺
UC-3422,UC-GL-118,ポートフォリオ管理,ポートフォリオ管理の現状評価/ギャップ分析,🔺
UC-3423,UC-GL-119,ポートフォリオ管理,ポートフォリオ管理の目標/ターゲット設定,🔺
UC-3424,UC-GL-120,ポートフォリオ管理,ポートフォリオ管理の運用手順と標準の整備,🔺
UC-3501,UC-GL-122,リスク管理,リスク管理のKPI/指標定義,🔺
UC-3502,UC-GL-123,リスク管理,リスク管理のガバナンスと方針運用の整備,🔺
UC-3503,UC-GL-124,リスク管理,リスク管理のステークホルダー/関係者調整,🔺
UC-3504,UC-GL-125,リスク管理,リスク管理のツール/データ整備,🔺
UC-3505,UC-GL-126,リスク管理,リスク管理のリスク/例外レビュー,🔺
UC-3506,UC-GL-127,リスク管理,リスク管理のリスクと例外の管理,🔺
UC-3507,UC-GL-128,リスク管理,リスク管理のレビュー/監査の実施,🔺
UC-3508,UC-GL-129,リスク管理,リスク管理のロードマップ策定,🔺
UC-3509,UC-GL-130,リスク管理,リスク管理の主要関係者の合意形成,🔺
UC-3510,UC-GL-131,リスク管理,リスク管理の変更影響の分析,🔺
UC-3511,UC-GL-132,リスク管理,リスク管理の定期レビュー/報告,🔺
UC-3512,UC-GL-133,リスク管理,リスク管理の実行計画の策定,🔺
UC-3513,UC-GL-134,リスク管理,リスク管理の役割/責任（RACI）定義,🔺
UC-3514,UC-GL-135,リスク管理,リスク管理の意思決定基準の明文化,🔺
UC-3515,UC-GL-136,リスク管理,リスク管理の成果物の記録/版管理,🔺
UC-3516,UC-GL-137,リスク管理,リスク管理の指標の定義と可視化,🔺
UC-3517,UC-GL-138,リスク管理,リスク管理の改善施策の優先順位付け,🔺
UC-3518,UC-GL-139,リスク管理,リスク管理の教育/オンボーディング,🔺
UC-3519,UC-GL-140,リスク管理,リスク管理の教育/展開/浸透,🔺
UC-3520,UC-GL-141,リスク管理,リスク管理の方針/ポリシー策定,🔺
UC-3521,UC-GL-142,リスク管理,リスク管理の標準/ガイドライン整備,🔺
UC-3522,UC-GL-143,リスク管理,リスク管理の現状評価/ギャップ分析,🔺
UC-3523,UC-GL-144,リスク管理,リスク管理の目標/ターゲット設定,🔺
UC-3524,UC-GL-145,リスク管理,リスク管理の運用手順と標準の整備,🔺
UC-3525,UC-N8N-17,リスク管理,リスクレビュー通知,🔺
UC-3801,UC-GF-030,可用性管理,可用性管理のSLA/目標管理,🔺
UC-3802,UC-GF-031,可用性管理,可用性管理のエスカレーション/連携,🔺
UC-3803,UC-GF-032,可用性管理,可用性管理のデータ品質の維持,🔺
UC-3804,UC-GF-033,可用性管理,可用性管理のナレッジの更新,🔺
UC-3805,UC-GF-034,可用性管理,可用性管理のレポート/振り返り,🔺
UC-3806,UC-GF-035,可用性管理,可用性管理のレポートの標準化,🔺
UC-3807,UC-GF-036,可用性管理,可用性管理の依存関係の整理,🔺
UC-3808,UC-GF-037,可用性管理,可用性管理の分類/優先度付け,🔺
UC-3809,UC-GF-038,可用性管理,可用性管理の受付/登録,🔺
UC-3810,UC-GF-039,可用性管理,可用性管理の品質保証/監査,🔺
UC-3811,UC-GF-040,可用性管理,可用性管理の実行/処理,🔺
UC-3812,UC-GF-041,可用性管理,可用性管理の承認/レビュー,🔺
UC-3813,UC-GF-042,可用性管理,可用性管理の改善施策の実施,🔺
UC-3814,UC-GF-043,可用性管理,可用性管理の方針/標準定義,🔺
UC-3815,UC-GF-044,可用性管理,可用性管理の標準テンプレートの整備,🔺
UC-3816,UC-GF-045,可用性管理,可用性管理の継続的改善,🔺
UC-3817,UC-GF-046,可用性管理,可用性管理の自動化/効率化,🔺
UC-3818,UC-GF-047,可用性管理,可用性管理の調査/分析,🔺
UC-3819,UC-GF-048,可用性管理,可用性管理の通知/コミュニケーション,🔺
UC-3820,UC-GF-049,可用性管理,可用性管理の運用手順の整備,🔺
UC-3821,UC-GF-050,可用性管理,可用性管理の関係者合意の形成,🔺
UC-4201,UC-GL-438,変更管理; プロジェクト管理,スコープラベル,🔺
UC-4401,UC-GF-052,容量・パフォーマンス管理,容量・パフォーマンス管理のSLA/目標管理,🔺
UC-4402,UC-GF-053,容量・パフォーマンス管理,容量・パフォーマンス管理のエスカレーション/連携,🔺
UC-4403,UC-GF-054,容量・パフォーマンス管理,容量・パフォーマンス管理のデータ品質の維持,🔺
UC-4404,UC-GF-055,容量・パフォーマンス管理,容量・パフォーマンス管理のナレッジの更新,🔺
UC-4405,UC-GF-056,容量・パフォーマンス管理,容量・パフォーマンス管理のレポート/振り返り,🔺
UC-4406,UC-GF-057,容量・パフォーマンス管理,容量・パフォーマンス管理のレポートの標準化,🔺
UC-4407,UC-GF-058,容量・パフォーマンス管理,容量・パフォーマンス管理の依存関係の整理,🔺
UC-4408,UC-GF-059,容量・パフォーマンス管理,容量・パフォーマンス管理の分類/優先度付け,🔺
UC-4409,UC-GF-060,容量・パフォーマンス管理,容量・パフォーマンス管理の受付/登録,🔺
UC-4410,UC-GF-061,容量・パフォーマンス管理,容量・パフォーマンス管理の品質保証/監査,🔺
UC-4411,UC-GF-062,容量・パフォーマンス管理,容量・パフォーマンス管理の実行/処理,🔺
UC-4412,UC-GF-063,容量・パフォーマンス管理,容量・パフォーマンス管理の承認/レビュー,🔺
UC-4413,UC-GF-064,容量・パフォーマンス管理,容量・パフォーマンス管理の改善施策の実施,🔺
UC-4414,UC-GF-065,容量・パフォーマンス管理,容量・パフォーマンス管理の方針/標準定義,🔺
UC-4415,UC-GF-066,容量・パフォーマンス管理,容量・パフォーマンス管理の標準テンプレートの整備,🔺
UC-4416,UC-GF-067,容量・パフォーマンス管理,容量・パフォーマンス管理の継続的改善,🔺
UC-4417,UC-GF-068,容量・パフォーマンス管理,容量・パフォーマンス管理の自動化/効率化,🔺
UC-4418,UC-GF-069,容量・パフォーマンス管理,容量・パフォーマンス管理の調査/分析,🔺
UC-4419,UC-GF-070,容量・パフォーマンス管理,容量・パフォーマンス管理の通知/コミュニケーション,🔺
UC-4420,UC-GF-071,容量・パフォーマンス管理,容量・パフォーマンス管理の運用手順の整備,🔺
UC-4421,UC-GF-072,容量・パフォーマンス管理,容量・パフォーマンス管理の関係者合意の形成,🔺
UC-4501,UC-GL-197,情報セキュリティ管理,機密チケット,🔺
UC-4502,UC-GL-147,情報セキュリティ管理,レジストリ認証,🔺
UC-4503,UC-KC-33,情報セキュリティ管理,管理権限分離,🔺
UC-4504,UC-KC-01,情報セキュリティ管理,トークン設計,🔺
UC-4505,UC-KC-32,情報セキュリティ管理,監査イベント,🔺
UC-4506,UC-KC-30,情報セキュリティ管理,権限継承,🔺
UC-4507,UC-KC-04,情報セキュリティ管理,外部IdP連携,🔺
UC-4508,UC-KC-34,情報セキュリティ管理,統合認証・SSO,🔺
UC-4509,UC-KC-02,情報セキュリティ管理,マルチテナント認証,🔺
UC-4510,UC-KC-31,情報セキュリティ管理,権限設計,🔺
UC-4511,UC-KC-03,情報セキュリティ管理,ユーザーフェデレーション,🔺
UC-4512,UC-KC-05,情報セキュリティ管理,多要素認証,🔺
UC-4513,UC-KC-06,情報セキュリティ管理,情報セキュリティ管理のKPI/指標定義,🔺
UC-4514,UC-KC-07,情報セキュリティ管理,情報セキュリティ管理のガバナンスと方針運用の整備,🔺
UC-4515,UC-KC-08,情報セキュリティ管理,情報セキュリティ管理のステークホルダー/関係者調整,🔺
UC-4516,UC-KC-09,情報セキュリティ管理,情報セキュリティ管理のツール/データ整備,🔺
UC-4517,UC-KC-10,情報セキュリティ管理,情報セキュリティ管理のリスク/例外レビュー,🔺
UC-4518,UC-KC-11,情報セキュリティ管理,情報セキュリティ管理のリスクと例外の管理,🔺
UC-4519,UC-KC-12,情報セキュリティ管理,情報セキュリティ管理のレビュー/監査の実施,🔺
UC-4520,UC-KC-13,情報セキュリティ管理,情報セキュリティ管理のロードマップ策定,🔺
UC-4521,UC-KC-14,情報セキュリティ管理,情報セキュリティ管理の主要関係者の合意形成,🔺
UC-4522,UC-KC-15,情報セキュリティ管理,情報セキュリティ管理の変更影響の分析,🔺
UC-4523,UC-KC-16,情報セキュリティ管理,情報セキュリティ管理の定期レビュー/報告,🔺
UC-4524,UC-KC-17,情報セキュリティ管理,情報セキュリティ管理の実行計画の策定,🔺
UC-4525,UC-KC-18,情報セキュリティ管理,情報セキュリティ管理の役割/責任（RACI）定義,🔺
UC-4526,UC-KC-19,情報セキュリティ管理,情報セキュリティ管理の意思決定基準の明文化,🔺
UC-4527,UC-KC-20,情報セキュリティ管理,情報セキュリティ管理の成果物の記録/版管理,🔺
UC-4528,UC-KC-21,情報セキュリティ管理,情報セキュリティ管理の指標の定義と可視化,🔺
UC-4529,UC-KC-22,情報セキュリティ管理,情報セキュリティ管理の改善施策の優先順位付け,🔺
UC-4530,UC-KC-23,情報セキュリティ管理,情報セキュリティ管理の教育/オンボーディング,🔺
UC-4531,UC-KC-24,情報セキュリティ管理,情報セキュリティ管理の教育/展開/浸透,🔺
UC-4532,UC-KC-25,情報セキュリティ管理,情報セキュリティ管理の方針/ポリシー策定,🔺
UC-4533,UC-KC-26,情報セキュリティ管理,情報セキュリティ管理の標準/ガイドライン整備,🔺
UC-4534,UC-KC-27,情報セキュリティ管理,情報セキュリティ管理の現状評価/ギャップ分析,🔺
UC-4535,UC-KC-28,情報セキュリティ管理,情報セキュリティ管理の目標/ターゲット設定,🔺
UC-4536,UC-KC-29,情報セキュリティ管理,情報セキュリティ管理の運用手順と標準の整備,🔺
UC-4537,UC-KC-37,情報セキュリティ管理,権限変更監査通知,🔺
UC-4538,UC-N8N-03,情報セキュリティ管理,資格情報管理,🔺
UC-4539,UC-N8N-01,情報セキュリティ管理,セキュア運用,🔺
UC-4601,UC-GL-173,戦略管理,戦略管理のKPI/指標定義,🔺
UC-4602,UC-GL-174,戦略管理,戦略管理のガバナンスと方針運用の整備,🔺
UC-4603,UC-GL-175,戦略管理,戦略管理のステークホルダー/関係者調整,🔺
UC-4604,UC-GL-176,戦略管理,戦略管理のツール/データ整備,🔺
UC-4605,UC-GL-177,戦略管理,戦略管理のリスク/例外レビュー,🔺
UC-4606,UC-GL-178,戦略管理,戦略管理のリスクと例外の管理,🔺
UC-4607,UC-GL-179,戦略管理,戦略管理のレビュー/監査の実施,🔺
UC-4608,UC-GL-180,戦略管理,戦略管理のロードマップ策定,🔺
UC-4609,UC-GL-181,戦略管理,戦略管理の主要関係者の合意形成,🔺
UC-4610,UC-GL-182,戦略管理,戦略管理の変更影響の分析,🔺
UC-4611,UC-GL-183,戦略管理,戦略管理の定期レビュー/報告,🔺
UC-4612,UC-GL-184,戦略管理,戦略管理の実行計画の策定,🔺
UC-4613,UC-GL-185,戦略管理,戦略管理の役割/責任（RACI）定義,🔺
UC-4614,UC-GL-186,戦略管理,戦略管理の意思決定基準の明文化,🔺
UC-4615,UC-GL-187,戦略管理,戦略管理の成果物の記録/版管理,🔺
UC-4616,UC-GL-188,戦略管理,戦略管理の指標の定義と可視化,🔺
UC-4617,UC-GL-189,戦略管理,戦略管理の改善施策の優先順位付け,🔺
UC-4618,UC-GL-190,戦略管理,戦略管理の教育/オンボーディング,🔺
UC-4619,UC-GL-191,戦略管理,戦略管理の教育/展開/浸透,🔺
UC-4620,UC-GL-192,戦略管理,戦略管理の方針/ポリシー策定,🔺
UC-4621,UC-GL-193,戦略管理,戦略管理の標準/ガイドライン整備,🔺
UC-4622,UC-GL-194,戦略管理,戦略管理の現状評価/ギャップ分析,🔺
UC-4623,UC-GL-195,戦略管理,戦略管理の目標/ターゲット設定,🔺
UC-4624,UC-GL-196,戦略管理,戦略管理の運用手順と標準の整備,🔺
UC-4733,UC-DORA-05,測定および報告,GitLab/S3 の認証失敗時に、失敗を明確にし証跡（ログ/出力欠落）を残す,🔺
UC-4734,UC-DORA-02,測定および報告,`N8N_METRICS_TARGET_DATE` 等の入力で対象日付を指定し、集計結果を再現する（監査/調査のための再実行）,🔺
UC-4735,UC-DORA-03,測定および報告,出力物（`metrics.json`/`gitlab_dora_events.jsonl` 等）が JSON として解析可能であることを確認する（OQ での最低限チェック）,🔺
UC-4736,UC-DORA-01,測定および報告,既定（日次/前日 UTC）で GitLab Deployments / Merge Requests を集計し、S3 に履歴出力する,🔺
UC-4737,UC-DORA-04,測定および報告,期間/対象の取り違いを防ぐ（既定ロジックと手動指定の双方で、出力が意図した期間に整合する）,🔺
