ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,アプリ(実データ列),判定理由,再分類,再分類理由
UC-1518,UC-GL-329,サービスデスクの調査/分析,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1519,UC-GL-330,サービスデスクの通知/コミュニケーション,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1520,UC-GL-331,サービスデスクの運用手順の整備,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1521,UC-GL-332,サービスデスクの関係者合意の形成,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1525,UC-MEN-01,GitLab Webhook を受信し、本文から `@mention` を抽出して Zulip（DM 等）へ通知する,サービスデスク,gitlab_mention_notify; n8n; GitLab; Zulip,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/gitlab_mention_notify/workflows/gitlab_mention_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1526,UC-MEN-02,Webhook Secret を検証し、不正送信を拒否する（未設定時は fail-fast で停止する）,サービスデスク,gitlab_mention_notify; n8n; GitLab; Zulip,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/gitlab_mention_notify/workflows/gitlab_mention_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1527,UC-MEN-03,dry-run で通知先と本文を確認し、誤検知/過通知のリスクを事前に抑制する,サービスデスク,gitlab_mention_notify; n8n; GitLab; Zulip,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/gitlab_mention_notify/workflows/gitlab_mention_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1528,UC-MEN-04,除外語/ユーザーマッピング/上限などのルールで過通知を抑制する,サービスデスク,gitlab_mention_notify; n8n; GitLab; Zulip,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/gitlab_mention_notify/workflows/gitlab_mention_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1529,UC-MEN-05,（任意）GitLab API を参照して補足情報を付与し、運用者の判断材料を増やす,サービスデスク,gitlab_mention_notify; n8n; GitLab; Zulip,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/gitlab_mention_notify/workflows/gitlab_mention_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1530,UC-ZG-03,Issue 状態（クローズ/再オープン等）を同期し、Zulip 側へ結果を通知する（Issue→会話の反映を含む）,サービスデスク,zulip_gitlab_issue_sync; n8n; Zulip; GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1531,UC-ZG-01,Zulip の特定 stream/topic を起点に GitLab Issue を作成し、結果を Zulip に通知する,サービスデスク,zulip_gitlab_issue_sync; n8n; Zulip; GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1532,UC-ZG-06,Zulip または GitLab Issue 上の「最終決定」を決定マーカーで識別し、Zulip へ通知しつつ GitLab Issue に証跡（決定ログ）を残す（最終決定: Zulip/GitLab、証跡の正: GitLab）,サービスデスク,zulip_gitlab_issue_sync; n8n; Zulip; GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1533,UC-ZG-02,同一 topic の継続会話を GitLab Issue/コメントへ追記し、履歴を同期する（会話→Issue）,サービスデスク,zulip_gitlab_issue_sync; n8n; Zulip; GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1534,UC-ZG-04,誤同期を抑制する（stream 名/ID 制約、マッピング/ルール、アンカー/差分同期で漏れ・重複を抑える）,サービスデスク,zulip_gitlab_issue_sync; n8n; Zulip; GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1535,UC-ZG-05,（任意）イベント/メトリクスを S3 へエクスポートし、日次振り返り等に利用できる形にする,サービスデスク,zulip_gitlab_issue_sync; n8n; Zulip; GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1701,UC-GL-460,ボード運用,サービスデスク; 変更管理,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-1801,UC-GL-333,サービスレベル管理のSLA/目標管理,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1802,UC-GL-334,サービスレベル管理のエスカレーション/連携,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1803,UC-GL-335,サービスレベル管理のデータ品質の維持,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/31_system_of_record.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1804,UC-GL-336,サービスレベル管理のナレッジの更新,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1805,UC-GL-337,サービスレベル管理のレポート/振り返り,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1806,UC-GL-338,サービスレベル管理のレポートの標準化,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1807,UC-GL-339,サービスレベル管理の依存関係の整理,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1808,UC-GL-340,サービスレベル管理の分類/優先度付け,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/general-management/docs/usecases/02_demand_prioritization.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1809,UC-GL-341,サービスレベル管理の受付/登録,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1810,UC-GL-342,サービスレベル管理の品質保証/監査,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1811,UC-GL-343,サービスレベル管理の実行/処理,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1812,UC-GL-344,サービスレベル管理の承認/レビュー,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1813,UC-GL-345,サービスレベル管理の改善施策の実施,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1814,UC-GL-346,サービスレベル管理の方針/標準定義,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1815,UC-GL-347,サービスレベル管理の標準テンプレートの整備,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1816,UC-GL-348,サービスレベル管理の継続的改善,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1817,UC-GL-349,サービスレベル管理の自動化/効率化,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/22_automation.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1818,UC-GL-350,サービスレベル管理の調査/分析,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1819,UC-GL-351,サービスレベル管理の通知/コミュニケーション,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1820,UC-GL-352,サービスレベル管理の運用手順の整備,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1821,UC-GL-353,サービスレベル管理の関係者合意の形成,サービスレベル管理,GitLab; Grafana; n8n; gitlab_issue_metrics_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_issue_metrics_sync/workflows/gitlab_issue_metrics_sync.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-2001,UC-EXA-23,CMDB同期（定期）,サービス構成管理,Exastro ITA API; n8n; GitLab; Zulip,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2002,UC-EXA-03,パラメータ管理,サービス構成管理,Exastro ITA Web / Exastro ITA API,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2003,UC-GL-375,サービス構成管理のSLA/目標管理,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2004,UC-GL-376,サービス構成管理のエスカレーション/連携,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2005,UC-GL-377,サービス構成管理のデータ品質の維持,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2006,UC-GL-378,サービス構成管理のナレッジの更新,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2007,UC-GL-379,サービス構成管理のレポート/振り返り,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2008,UC-GL-380,サービス構成管理のレポートの標準化,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2009,UC-GL-381,サービス構成管理の依存関係の整理,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2010,UC-GL-382,サービス構成管理の分類/優先度付け,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2011,UC-GL-383,サービス構成管理の受付/登録,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2012,UC-GL-384,サービス構成管理の品質保証/監査,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2013,UC-GL-385,サービス構成管理の実行/処理,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2014,UC-GL-386,サービス構成管理の承認/レビュー,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2015,UC-GL-387,サービス構成管理の改善施策の実施,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2016,UC-GL-388,サービス構成管理の方針/標準定義,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2017,UC-GL-389,サービス構成管理の標準テンプレートの整備,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2018,UC-GL-390,サービス構成管理の継続的改善,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2019,UC-GL-391,サービス構成管理の自動化/効率化,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2020,UC-GL-392,サービス構成管理の調査/分析,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2021,UC-GL-393,サービス構成管理の通知/コミュニケーション,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2022,UC-GL-394,サービス構成管理の運用手順の整備,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2023,UC-GL-395,サービス構成管理の関係者合意の形成,サービス構成管理,GitLab; Exastro ITA Web / Exastro ITA API; n8n,根拠: scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2101,UC-GL-461,ラベル運用,サービス構成管理; 変更管理,GitLab,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2201,UC-GL-396,サービス継続管理のSLA/目標管理,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2202,UC-GL-397,サービス継続管理のエスカレーション/連携,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2203,UC-GL-398,サービス継続管理のデータ品質の維持,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2204,UC-GL-399,サービス継続管理のナレッジの更新,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2205,UC-GL-400,サービス継続管理のレポート/振り返り,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2206,UC-GL-401,サービス継続管理のレポートの標準化,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2207,UC-GL-402,サービス継続管理の依存関係の整理,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2208,UC-GL-403,サービス継続管理の分類/優先度付け,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2209,UC-GL-404,サービス継続管理の受付/登録,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2210,UC-GL-405,サービス継続管理の品質保証/監査,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2211,UC-GL-406,サービス継続管理の実行/処理,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
UC-2212,UC-GL-407,サービス継続管理の承認/レビュー,サービス継続管理,GitLab; Grafana,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,実装済み（根拠+自動化）,サービス管理: プラクティス文書/導線整備 + プラクティスレビューIssue起票（n8n+CI）を追加
