ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,設計追加先MD,設計ファミリ,既存機能への追加候補,新規app/script必要,提案コンポーネント種別,提案コンポーネント名,新規実装スコープ
UC-1802,UC-GL-334,サービスレベル管理のエスカレーション/連携,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1803,UC-GL-335,サービスレベル管理のデータ品質の維持,サービスレベル管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/31_system_of_record.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1804,UC-GL-336,サービスレベル管理のナレッジの更新,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1805,UC-GL-337,サービスレベル管理のレポート/振り返り,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1806,UC-GL-338,サービスレベル管理のレポートの標準化,サービスレベル管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1807,UC-GL-339,サービスレベル管理の依存関係の整理,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1808,UC-GL-340,サービスレベル管理の分類/優先度付け,サービスレベル管理,scripts/itsm/gitlab/templates/general-management/docs/usecases/02_demand_prioritization.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1809,UC-GL-341,サービスレベル管理の受付/登録,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1810,UC-GL-342,サービスレベル管理の品質保証/監査,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1811,UC-GL-343,サービスレベル管理の実行/処理,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1812,UC-GL-344,サービスレベル管理の承認/レビュー,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1813,UC-GL-345,サービスレベル管理の改善施策の実施,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1814,UC-GL-346,サービスレベル管理の方針/標準定義,サービスレベル管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1815,UC-GL-347,サービスレベル管理の標準テンプレートの整備,サービスレベル管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1816,UC-GL-348,サービスレベル管理の継続的改善,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1817,UC-GL-349,サービスレベル管理の自動化/効率化,サービスレベル管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/22_automation.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1818,UC-GL-350,サービスレベル管理の調査/分析,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1819,UC-GL-351,サービスレベル管理の通知/コミュニケーション,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1820,UC-GL-352,サービスレベル管理の運用手順の整備,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-1821,UC-GL-353,サービスレベル管理の関係者合意の形成,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
UC-2001,UC-EXA-23,CMDB同期（定期）,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2002,UC-EXA-03,パラメータ管理,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2003,UC-GL-375,サービス構成管理のSLA/目標管理,サービス構成管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-2004,UC-GL-376,サービス構成管理のエスカレーション/連携,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2005,UC-GL-377,サービス構成管理のデータ品質の維持,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2006,UC-GL-378,サービス構成管理のナレッジの更新,サービス構成管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,service,platform-doc-only,no,,,
UC-2007,UC-GL-379,サービス構成管理のレポート/振り返り,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2008,UC-GL-380,サービス構成管理のレポートの標準化,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2009,UC-GL-381,サービス構成管理の依存関係の整理,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2010,UC-GL-382,サービス構成管理の分類/優先度付け,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2011,UC-GL-383,サービス構成管理の受付/登録,サービス構成管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,platform-doc-only,no,,,
UC-2012,UC-GL-384,サービス構成管理の品質保証/監査,サービス構成管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-2013,UC-GL-385,サービス構成管理の実行/処理,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2014,UC-GL-386,サービス構成管理の承認/レビュー,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2015,UC-GL-387,サービス構成管理の改善施策の実施,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2016,UC-GL-388,サービス構成管理の方針/標準定義,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2017,UC-GL-389,サービス構成管理の標準テンプレートの整備,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2018,UC-GL-390,サービス構成管理の継続的改善,サービス構成管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2019,UC-GL-391,サービス構成管理の自動化/効率化,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2020,UC-GL-392,サービス構成管理の調査/分析,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2021,UC-GL-393,サービス構成管理の通知/コミュニケーション,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2022,UC-GL-394,サービス構成管理の運用手順の整備,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2023,UC-GL-395,サービス構成管理の関係者合意の形成,サービス構成管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2101,UC-GL-461,ラベル運用,サービス構成管理; 変更管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,platform-doc-only,no,,,
UC-2201,UC-GL-396,サービス継続管理のSLA/目標管理,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-2202,UC-GL-397,サービス継続管理のエスカレーション/連携,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2203,UC-GL-398,サービス継続管理のデータ品質の維持,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2204,UC-GL-399,サービス継続管理のナレッジの更新,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,service,platform-doc-only,no,,,
UC-2205,UC-GL-400,サービス継続管理のレポート/振り返り,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2206,UC-GL-401,サービス継続管理のレポートの標準化,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2207,UC-GL-402,サービス継続管理の依存関係の整理,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2208,UC-GL-403,サービス継続管理の分類/優先度付け,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2209,UC-GL-404,サービス継続管理の受付/登録,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,platform-doc-only,no,,,
UC-2210,UC-GL-405,サービス継続管理の品質保証/監査,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-2211,UC-GL-406,サービス継続管理の実行/処理,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2212,UC-GL-407,サービス継続管理の承認/レビュー,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2213,UC-GL-408,サービス継続管理の改善施策の実施,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2214,UC-GL-409,サービス継続管理の方針/標準定義,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2215,UC-GL-410,サービス継続管理の標準テンプレートの整備,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2216,UC-GL-411,サービス継続管理の継続的改善,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2217,UC-GL-412,サービス継続管理の自動化/効率化,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2218,UC-GL-413,サービス継続管理の調査/分析,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2219,UC-GL-414,サービス継続管理の通知/コミュニケーション,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2220,UC-GL-415,サービス継続管理の運用手順の整備,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2221,UC-GL-416,サービス継続管理の関係者合意の形成,サービス継続管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2301,UC-ZU-39,受付→起票,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2302,UC-WM-22,サービス要求管理のSLA/目標管理,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2303,UC-WM-23,サービス要求管理のエスカレーション/連携,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2304,UC-WM-24,サービス要求管理のデータ品質の維持,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2305,UC-WM-25,サービス要求管理のナレッジの更新,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2306,UC-WM-26,サービス要求管理のレポート/振り返り,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2307,UC-WM-27,サービス要求管理のレポートの標準化,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2308,UC-WM-28,サービス要求管理の依存関係の整理,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2309,UC-WM-29,サービス要求管理の分類/優先度付け,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2310,UC-WM-30,サービス要求管理の受付/登録,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2311,UC-WM-31,サービス要求管理の品質保証/監査,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2312,UC-WM-32,サービス要求管理の実行/処理,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2313,UC-WM-33,サービス要求管理の承認/レビュー,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2314,UC-WM-34,サービス要求管理の改善施策の実施,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2315,UC-WM-35,サービス要求管理の方針/標準定義,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2316,UC-WM-36,サービス要求管理の標準テンプレートの整備,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2317,UC-WM-37,サービス要求管理の継続的改善,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2318,UC-WM-38,サービス要求管理の自動化/効率化,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2319,UC-WM-39,サービス要求管理の調査/分析,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2320,UC-WM-40,サービス要求管理の通知/コミュニケーション,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2321,UC-WM-41,サービス要求管理の運用手順の整備,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2322,UC-WM-42,サービス要求管理の関係者合意の形成,サービス要求管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-2401,UC-N8N-05,業務自動化,サービス要求管理; 変更管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,platform-doc-only,no,,,
UC-2501,UC-GL-417,サービス設計のSLA/目標管理,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-2502,UC-GL-418,サービス設計のエスカレーション/連携,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-2503,UC-GL-419,サービス設計のデータ品質の維持,サービス設計,scripts/itsm/gitlab/templates/technical-management/docs/usecases/31_system_of_record.md.tpl,service,platform-doc-only,no,,,
UC-2504,UC-GL-420,サービス設計のナレッジの更新,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,service,platform-doc-only,no,,,
UC-2505,UC-GL-421,サービス設計のレポート/振り返り,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-2506,UC-GL-422,サービス設計のレポートの標準化,サービス設計,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2507,UC-GL-423,サービス設計の依存関係の整理,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-2508,UC-GL-424,サービス設計の分類/優先度付け,サービス設計,scripts/itsm/gitlab/templates/general-management/docs/usecases/02_demand_prioritization.md.tpl,service,platform-doc-only,no,,,
UC-2509,UC-GL-425,サービス設計の受付/登録,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,platform-doc-only,no,,,
UC-2510,UC-GL-426,サービス設計の品質保証/監査,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-2511,UC-GL-427,サービス設計の実行/処理,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-2512,UC-GL-428,サービス設計の承認/レビュー,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-2513,UC-GL-429,サービス設計の改善施策の実施,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-2514,UC-GL-430,サービス設計の方針/標準定義,サービス設計,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2515,UC-GL-431,サービス設計の標準テンプレートの整備,サービス設計,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-2516,UC-GL-432,サービス設計の継続的改善,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-2517,UC-GL-433,サービス設計の自動化/効率化,サービス設計,scripts/itsm/gitlab/templates/technical-management/docs/usecases/22_automation.md.tpl,service,platform-doc-only,no,,,
UC-2518,UC-GL-434,サービス設計の調査/分析,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-2519,UC-GL-435,サービス設計の通知/コミュニケーション,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-2520,UC-GL-436,サービス設計の運用手順の整備,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-2521,UC-GL-437,サービス設計の関係者合意の形成,サービス設計,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3201,UC-GL-439,ビジネス分析のSLA/目標管理,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-3202,UC-GL-440,ビジネス分析のエスカレーション/連携,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3203,UC-GL-441,ビジネス分析のデータ品質の維持,ビジネス分析,scripts/itsm/gitlab/templates/technical-management/docs/usecases/31_system_of_record.md.tpl,service,platform-doc-only,no,,,
UC-3204,UC-GL-442,ビジネス分析のナレッジの更新,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,service,platform-doc-only,no,,,
UC-3205,UC-GL-443,ビジネス分析のレポート/振り返り,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3206,UC-GL-444,ビジネス分析のレポートの標準化,ビジネス分析,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-3207,UC-GL-445,ビジネス分析の依存関係の整理,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3208,UC-GL-446,ビジネス分析の分類/優先度付け,ビジネス分析,scripts/itsm/gitlab/templates/general-management/docs/usecases/02_demand_prioritization.md.tpl,service,platform-doc-only,no,,,
UC-3209,UC-GL-447,ビジネス分析の受付/登録,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,platform-doc-only,no,,,
UC-3210,UC-GL-448,ビジネス分析の品質保証/監査,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,platform-doc-only,no,,,
UC-3211,UC-GL-449,ビジネス分析の実行/処理,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3212,UC-GL-450,ビジネス分析の承認/レビュー,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3213,UC-GL-451,ビジネス分析の改善施策の実施,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3214,UC-GL-452,ビジネス分析の方針/標準定義,ビジネス分析,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-3215,UC-GL-453,ビジネス分析の標準テンプレートの整備,ビジネス分析,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,platform-doc-only,no,,,
UC-3216,UC-GL-454,ビジネス分析の継続的改善,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,platform-doc-only,no,,,
UC-3217,UC-GL-455,ビジネス分析の自動化/効率化,ビジネス分析,scripts/itsm/gitlab/templates/technical-management/docs/usecases/22_automation.md.tpl,service,platform-doc-only,no,,,
UC-3218,UC-GL-456,ビジネス分析の調査/分析,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3219,UC-GL-457,ビジネス分析の通知/コミュニケーション,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3220,UC-GL-458,ビジネス分析の運用手順の整備,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3221,UC-GL-459,ビジネス分析の関係者合意の形成,ビジネス分析,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-3601,UC-GL-462,リリース管理,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,platform-doc-only,no,,,
UC-3602,UC-GL-463,リリース管理のSLA/目標管理,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3603,UC-GL-464,リリース管理のエスカレーション/連携,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3604,UC-GL-465,リリース管理のデータ品質の維持,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3605,UC-GL-466,リリース管理のナレッジの更新,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3606,UC-GL-467,リリース管理のレポート/振り返り,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3607,UC-GL-468,リリース管理のレポートの標準化,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3608,UC-GL-469,リリース管理の依存関係の整理,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3609,UC-GL-470,リリース管理の分類/優先度付け,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3610,UC-GL-471,リリース管理の受付/登録,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3611,UC-GL-472,リリース管理の品質保証/監査,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
UC-3612,UC-GL-473,リリース管理の実行/処理,リリース管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,apps/itsm_core/gitlab_push_notify,no,,,
